Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,29,22,9,14,6,13,31,41.9,18,20,8,12,26,55,46,2,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,2,2,1,1,0,2,5,40.0,3,0,0,0,2,4,2,0,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,34,21,18,14,2,22,47,46.8,25,21,9,12,32,66,85,0,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,17,6,6,8,3,9,25,36.0,16,11,3,8,8,25,24,0,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,31,16,12,15,4,16,34,47.1,18,19,0,19,7,38,7,0,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,21,12,10,8,3,12,25,48.0,13,11,4,7,12,33,17,0,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,41,27,27,10,4,25,39,64.1,14,18,1,17,19,60,19,0,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,77,38,38,26,13,37,75,49.3,38,30,4,26,66,143,80,0,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,5,4,3,2,0,1,8,12.5,7,8,1,7,3,8,5,0,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,39,22,16,18,5,18,49,36.7,31,23,10,13,39,78,30,0,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,26,20,16,6,4,15,26,57.7,11,19,6,13,23,49,28,0,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,4,2,4,0,0,3,4,75.0,1,3,2,1,5,9,31,0,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,6,3,4,1,1,2,3,66.7,1,4,0,4,0,6,0,0,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,5,1,0,3,2,1,6,16.7,5,3,1,2,3,8,0,0,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,0,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,20,10,11,7,2,6,22,27.3,16,6,3,3,8,28,13,0,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,6,3,4,1,1,1,6,16.7,5,3,0,3,1,7,4,0,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,15,1,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,31,17,22,7,2,19,31,61.3,12,53,43,10,35,66,144,4,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,6,3,1,5,0,1,7,14.3,6,6,0,6,1,7,2,1,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,3,3,3,0,0,1,1,100.0,0,0,0,0,0,3,1,0,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,18,0,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,18,9,10,7,1,8,16,50.0,8,11,6,5,14,32,55,1,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,38,21,27,9,2,21,41,51.2,20,51,25,26,39,77,102,0,Matches,10fe831e
130,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,42,26,37,5,0,17,29,58.6,12,31,24,7,40,82,191,1,Matches,589d070c
131,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,14,7,12,2,0,7,13,53.8,6,10,9,1,9,23,56,0,Matches,84b6acaa
132,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,18,15,12,6,0,9,12,75.0,3,22,19,3,13,31,71,1,Matches,913e4711
133,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,1,0,1,0,0,1,2,50.0,1,1,1,0,5,6,7,0,Matches,2a51efe8
134,Chico,br BRA,MFFW,Juventude,30,1991,24.2,54,31,21,23,10,19,39,48.7,20,24,4,20,25,79,21,0,Matches,bad7d8a9
135,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,8,6,1,6,1,4,8,50.0,4,3,1,2,5,13,4,0,Matches,a856b456
136,Diego Churín,ar ARG,FW,Atl Goianiense,32,1989,26.5,31,18,7,20,4,9,32,28.1,23,20,3,17,8,39,24,0,Matches,875ac6e9
137,Marcelo Cirino,br BRA,FW,Atl Paranaense,30,1992,5.2,5,3,1,2,2,2,6,33.3,4,7,0,7,5,10,5,0,Matches,6ba81b35
138,Léo Cittadini,br BRA,MFFW,Atl Paranaense,27,1994,8.0,18,10,9,8,1,7,15,46.7,8,9,0,9,5,23,12,0,Matches,68410185
139,Luccas Claro,br BRA,DF,Fluminense,30,1991,5.2,1,1,1,0,0,0,3,0.0,3,3,3,0,8,9,29,0,Matches,3cacc0ec
140,Clayton,br BRA,FWMF,Coritiba,23,1999,3.6,3,1,1,1,1,0,3,0.0,3,2,0,2,0,3,5,0,Matches,b05870de
141,Cléber,br BRA,FW,Ceará,25,1996,10.9,16,10,2,10,4,3,8,37.5,5,7,1,6,2,18,11,0,Matches,e539e239
142,Jean Cléber,br BRA,MF,Avaí,31,1990,9.6,16,11,10,5,1,9,12,75.0,3,10,3,7,13,29,9,1,Matches,16bf849a
143,Cleiton,br BRA,DF,Flamengo,18,2003,0.0,,0,,,,,,,,,,,0,,,,Matches,741c6251
144,Andrés Colorado,co COL,MF,São Paulo,23,1998,3.4,10,9,6,3,1,3,5,60.0,2,4,1,3,5,15,9,1,Matches,f3afff11
145,Germán Conti,ar ARG,DF,América (MG),27,1994,18.4,20,13,9,10,1,7,14,50.0,7,34,22,12,28,48,110,0,Matches,7b18b6db
146,Jonathan Copete,co COL,FW,Avaí,34,1988,3.1,5,2,0,4,1,2,4,50.0,2,4,0,4,3,8,6,0,Matches,ce070a45
147,Bruno Cortez,br BRA,DF,Avaí,34,1987,27.0,47,25,26,17,4,31,50,62.0,19,36,8,28,12,59,57,1,Matches,a3a1198a
148,Talles Costa,br BRA,MF,São Paulo,19,2002,6.1,11,8,3,8,0,6,11,54.5,5,7,0,7,8,19,3,0,Matches,d8f15d24
149,Lucas Crispim,br BRA,DFMF,Fortaleza,27,1994,13.0,18,13,9,5,4,14,21,66.7,7,12,0,12,15,33,18,0,Matches,6501ff61
150,Daniel Cruz,br BRA,FWDF,Botafogo (RJ),20,2001,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches,86a118c2
151,Tomás Cuello,ar ARG,FW,Atl Paranaense,21,2000,18.0,44,25,21,17,6,16,40,40.0,24,15,2,13,12,56,10,0,Matches,5c8615dd
