Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_total,Att_total,Cmp%_total,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_medium,Att_medium,Cmp%_medium,Cmp_long,Att_long,Cmp%_long,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
471,Léo Natel,br BRA,FW,Corinthians,24,1997,0.3,8,14,57.1,116,8,5,6,83.3,3,7,42.9,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,cd8d04a2
472,Nathan,br BRA,DF,Santos,20,2001,6.9,297,352,84.4,4453,1445,168,184,91.3,103,122,84.4,16,24,66.7,0,0.4,0.5,-0.4,4,15,5,4,15,Matches,9fb6420e
473,Nathan,br BRA,MF,Goiás,20,2001,0.0,3,3,100.0,35,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,eb61284b
474,Nathan,br BRA,MFFW,Fluminense,25,1996,10.7,431,558,77.2,6040,1553,262,296,88.5,114,147,77.6,26,60,43.3,2,1.6,1.7,+0.4,14,35,14,2,63,Matches,fa00f0c9
475,Nathan,br BRA,FWMF,Avaí,22,1999,1.1,16,21,76.2,192,57,11,13,84.6,4,5,80.0,0,0,,1,0.0,0.1,+1.0,0,1,1,0,2,Matches,e0d5a5e9
476,Rafael Navarro,br BRA,FWMF,Palmeiras,21,2000,8.0,67,111,60.4,905,216,41,58,70.7,15,21,71.4,3,7,42.9,1,0.3,0.2,+0.7,3,5,1,0,12,Matches,4b5ab509
477,Kaiky Naves,br BRA,DFMF,Palmeiras,19,2002,0.4,18,19,94.7,433,193,5,5,100.0,8,8,100.0,5,6,83.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,621576f9
478,Bruno Nazário,br BRA,MF,Juventude,26,1995,6.5,199,293,67.9,3779,1255,94,108,87.0,69,92,75.0,31,69,44.9,0,1.2,0.9,-1.2,16,27,6,1,48,Matches,dc1d79a5
479,Neílton,br BRA,FWDF,Coritiba,27,1994,0.9,31,39,79.5,518,166,13,14,92.9,9,11,81.8,5,8,62.5,0,0.1,0.1,-0.1,4,5,1,1,4,Matches,689299a6
480,Gabriel Neris,br BRA,MF,Juventude,20,2001,2.4,57,69,82.6,1028,221,21,24,87.5,27,29,93.1,4,5,80.0,0,0.0,0.1,0.0,1,5,1,1,7,Matches,54fe5551
481,Gustavo Nescau,br BRA,FW,Cuiabá,21,2000,0.3,1,3,33.3,14,2,1,2,50.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,0682693b
482,Rodrigo Nestor,br BRA,MF,São Paulo,21,2000,23.6,816,1045,78.1,13368,2991,414,474,87.3,308,379,81.3,64,116,55.2,3,4.1,3.7,-1.1,41,54,22,5,88,Matches,c04ebe99
483,Gabriel Neves,uy URU,MF,São Paulo,24,1997,6.3,369,419,88.1,6777,1570,152,175,86.9,172,183,94.0,39,45,86.7,0,0.1,0.2,-0.1,4,35,1,0,33,Matches,2a03fb5f
484,Nicolas,br BRA,FWMF,Goiás,32,1989,11.1,183,290,63.1,2512,478,120,170,70.6,48,74,64.9,8,15,53.3,2,1.8,1.2,+0.2,16,17,6,1,20,Matches,0e74a520
