Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
50,Fabián Balbuena,py PAR,DF,Corinthians,30,1991,12.0,2,0,0,8,4,0,0,12,11,0,1,0,73,27,16,62.8,Matches,3626f7d9
51,Robson Bambu,br BRA,DF,Corinthians,24,1997,4.4,0,0,0,3,4,0,0,8,7,0,0,0,22,4,4,50.0,Matches,d4fa7d01
52,Léo Baptistão,br BRA,FWMF,Santos,29,1992,12.6,2,0,0,17,33,1,15,7,9,0,0,1,72,25,34,42.4,Matches,35f6db55
53,Gabriel Baralhas,br BRA,MF,Atl Goianiense,23,1998,24.0,12,0,0,40,17,0,7,35,37,0,1,0,133,25,19,56.8,Matches,b7838aad
54,Danilo Barbosa,br BRA,MF,Botafogo (RJ),25,1996,1.8,1,0,0,4,4,0,0,5,3,0,0,0,11,2,0,100.0,Matches,0557ff4f
55,Gabriel Barbosa,br BRA,FW,Flamengo,25,1996,22.7,11,1,1,10,19,17,34,2,5,1,0,0,53,4,6,40.0,Matches,72d0e1b6
56,Lucas Barbosa,br BRA,FWMF,Santos,20,2001,8.6,4,1,1,25,28,4,14,10,19,0,0,0,54,28,31,47.5,Matches,a28eac7e
57,Danilo Barcelos,br BRA,DFMF,Goiás,30,1991,11.4,8,0,0,29,9,1,56,11,17,0,0,0,40,38,35,52.1,Matches,26f4ef39
58,Leandro Barcia,uy URU,FW,Atl Goianiense,29,1992,0.3,0,0,0,1,0,0,0,2,2,0,0,1,1,0,0,,Matches,11d91ea7
59,Barreto,br BRA,MF,Botafogo (RJ),26,1995,0.3,0,0,0,1,1,0,0,0,2,0,0,0,2,1,0,100.0,Matches,de08d383
60,Fellipe Bastos,br BRA,MF,Goiás,31,1990,9.6,10,1,0,22,14,0,35,11,11,0,1,0,81,10,8,55.6,Matches,9b99eae0
61,Ramiro Benetti,br BRA,MFFW,Corinthians,28,1993,6.1,3,0,0,8,5,2,4,6,7,1,0,0,28,11,17,39.3,Matches,96d14fe7
62,Martín Benítez,ar ARG,MF,América (MG),27,1994,8.4,2,0,0,7,24,1,63,5,6,0,0,0,54,7,6,53.8,Matches,c122e34e
63,Bento,br BRA,GK,Atl Paranaense,22,1999,33.0,3,0,0,0,2,0,0,1,1,0,0,0,32,5,3,62.5,Matches,5d699228
64,Lucas Beraldo,br BRA,DF,São Paulo,18,2003,1.4,0,1,0,1,1,0,0,2,4,0,0,0,6,3,1,75.0,Matches,b8aedf06
65,Eduardo de Biasi,br BRA,MF,Avaí,25,1997,20.8,6,0,0,47,36,1,26,12,19,0,0,0,113,16,14,53.3,Matches,828a04fa
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,3,0,0,16,19,0,5,32,15,0,1,0,101,35,27,56.5,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,1,0,0,3,1,0,3,0,2,0,0,0,2,1,0,100.0,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,3,0,0,14,3,1,19,14,12,0,0,0,35,8,13,38.1,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,6,0,0,52,28,12,15,13,14,1,0,0,59,37,73,33.6,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,2,0,0,1,3,0,0,1,0,0,1,0,7,6,0,100.0,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,0.0,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,5,0,0,19,37,3,51,6,6,1,0,0,78,4,14,22.2,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,4,1,1,21,13,1,115,17,18,0,0,0,118,12,20,37.5,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches,55196057
