Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
100,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,205,5,34,124,52,11,205,6,5,83.3,1,16.7,141,503,207,0,6,0,5,6,156,19,Matches,c84af55e
101,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,484,17,132,222,133,9,484,25,8,32.0,12,48.0,241,1309,774,15,14,3,6,9,295,33,Matches,a564fe91
102,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,1029,52,75,408,559,211,1027,57,28,49.1,26,45.6,535,2731,1017,41,21,20,95,40,767,193,Matches,6922f806
103,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,1149,59,298,741,119,8,1149,6,3,50.0,2,33.3,612,2740,1366,9,15,0,6,9,752,10,Matches,61a6775b
104,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,49,4,15,31,4,0,49,1,0,0.0,1,100.0,26,82,39,0,0,0,4,0,29,2,Matches,2c79da44
105,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,924,77,246,548,138,9,924,17,7,41.2,9,52.9,471,2356,1132,19,18,4,21,11,528,16,Matches,dfb81359
106,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,64,7,32,31,2,1,64,1,1,100.0,0,0.0,44,287,174,0,0,0,1,0,42,0,Matches,c455a045
107,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,1647,100,428,827,407,52,1645,22,10,45.5,9,40.9,787,4024,1935,29,28,1,29,14,813,76,Matches,ca151606
108,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,869,33,112,396,372,147,869,23,11,47.8,11,47.8,447,1641,643,14,19,7,39,25,577,126,Matches,9ccf4e14
109,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,604,11,84,252,280,43,604,40,18,45.0,21,52.5,365,2230,990,28,25,7,42,23,391,98,Matches,4f5a2f38
110,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,826,26,161,553,119,1,826,8,7,87.5,1,12.5,535,2429,1279,11,14,0,7,4,564,10,Matches,45075f2f
111,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,682,23,173,264,259,32,682,60,18,30.0,34,56.7,448,3474,1488,47,31,10,35,18,440,108,Matches,ea2634a1
112,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,2220,109,573,1030,659,45,2220,86,40,46.5,35,40.7,1096,7110,4029,97,69,12,52,33,1127,175,Matches,91ba7336
113,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,280,5,45,154,83,6,280,5,1,20.0,4,80.0,147,587,213,5,6,0,12,4,194,18,Matches,7a694ae4
114,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,1009,43,195,617,209,38,1009,37,20,54.1,15,40.5,583,2962,1425,19,25,4,35,22,655,37,Matches,7426f085
115,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,774,44,219,360,200,15,774,8,4,50.0,2,25.0,352,1849,955,12,14,2,12,11,379,45,Matches,662475de
116,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,185,46,116,61,8,6,185,0,0,,0,,85,421,188,0,0,0,1,0,99,0,Matches,00d6e369
117,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,180,3,25,101,56,2,180,2,2,100.0,0,0.0,101,467,222,1,6,0,5,2,125,13,Matches,e93e479e
118,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,157,2,6,72,82,39,157,6,2,33.3,4,66.7,86,372,118,3,3,1,28,7,97,23,Matches,f50b0b2b
119,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,282,254,282,1,0,0,282,0,0,,0,,129,899,606,0,0,0,0,0,67,0,Matches,ad9e7995
120,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,17,0,2,11,4,1,17,0,0,,0,,16,63,28,0,0,0,2,2,16,1,Matches,ebb2d232
121,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,408,14,72,238,105,11,408,11,7,63.6,3,27.3,227,1001,395,3,4,1,17,11,248,15,Matches,a32d25d3
122,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,97,3,23,55,19,0,97,0,0,,0,,52,204,93,1,0,0,4,5,57,1,Matches,a32d25d3
123,Cássio,br BRA,GK,Corinthians,34,1987,34.0,1025,881,1022,3,0,0,1025,0,0,,0,,519,3300,2080,0,0,0,1,0,299,0,Matches,d42f6326
124,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,1948,351,1092,819,52,30,1948,9,7,77.8,2,22.2,1151,6691,4334,24,7,0,18,6,1264,6,Matches,0470eeba
125,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,214,2,21,92,108,11,214,32,18,56.3,14,43.8,172,1177,562,22,12,2,16,12,168,48,Matches,555311f2
126,Cauã,br BRA,DF,Juventude,18,2003,0.5,23,0,11,10,2,0,23,1,1,100.0,0,0.0,9,45,18,0,1,0,0,0,7,0,Matches,3c48a088
127,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,846,750,840,6,0,0,846,1,1,100.0,0,0.0,427,2860,2161,0,0,0,2,0,222,0,Matches,8470f026
128,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,609,63,249,307,60,17,609,9,5,55.6,4,44.4,281,1413,757,9,5,0,10,6,322,13,Matches,3fa61ade
129,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,1926,223,911,955,70,47,1926,14,11,78.6,3,21.4,1102,5548,3343,19,7,0,11,1,1290,1,Matches,10fe831e
