Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
66,Pedro Bicalho,br BRA,MF,Palmeiras,20,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f35cb8a4
67,Raul Bicalho,br BRA,DF,Corinthians,22,1999,18.7,2,12,4,33.3,0.64,0.21,0.17,0.50,15.7,0,0,0,1.5,1.5,0.15,+0.5,+0.5,Matches,79af412b
68,Guilherme Biro,br BRA,FW,Corinthians,17,2004,1.2,0,2,1,50.0,1.67,0.83,0.00,0.00,23.2,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,e38c2c76
69,Guilherme Biro,br BRA,DF,Coritiba,21,2000,8.2,0,3,0,0.0,0.36,0.00,0.00,,30.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,02c7236e
70,Guilherme Bissoli,br BRA,FW,Avaí,24,1998,27.1,14,50,16,32.0,1.84,0.59,0.10,0.31,19.4,2,9,9,11.6,4.5,0.09,+2.4,+0.5,Matches,c9024e62
71,Marcelo Boeck,br BRA,GK,Fortaleza,37,1984,13.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,069cb4f8
72,Vinícius Boff,br BRA,MF,Cuiabá,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,badaed00
73,Ângelo Borges,br BRA,FWMF,Santos,17,2004,17.0,1,28,9,32.1,1.64,0.53,0.04,0.11,20.5,0,0,0,1.6,1.6,0.06,-0.6,-0.6,Matches,737945d9
74,Daniel Borges,br BRA,DF,Botafogo (RJ),28,1993,20.8,1,12,3,25.0,0.58,0.14,0.08,0.33,29.4,2,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,71879f82
75,Douglas Borges,br BRA,GK,Botafogo (RJ),31,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,55196057
76,Marllon Borges,br BRA,DF,Cuiabá,29,1992,33.4,0,23,3,13.0,0.69,0.09,0.00,0.00,11.8,0,0,0,2.4,2.4,0.10,-2.4,-2.4,Matches,d0b29bbd
77,Gabriel Boschilia,br BRA,MFFW,Internacional,25,1996,0.6,0,1,0,0.0,1.61,0.00,0.00,,31.1,1,0,0,0.0,0.0,0.03,0.0,0.0,Matches,e90af77c
78,Gabriel Boschilia,br BRA,MF,Coritiba,25,1996,5.3,0,11,3,27.3,2.08,0.57,0.00,0.00,26.6,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,e90af77c
79,Lucas Braga,br BRA,FWMF,Santos,25,1996,23.1,5,39,18,46.2,1.69,0.78,0.13,0.28,17.7,0,0,0,4.8,4.8,0.12,+0.2,+0.2,Matches,8a0a73ad
80,David Braz,br BRA,DF,Fluminense,34,1987,7.9,1,7,2,28.6,0.89,0.25,0.14,0.50,19.6,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,9313b408
81,Breno,br BRA,FW,Palmeiras,26,1996,3.7,1,8,4,50.0,2.19,1.09,0.13,0.25,16.3,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,e0016d00
82,Bressan,br BRA,DF,Avaí,29,1993,20.6,0,6,0,0.0,0.29,0.00,0.00,,10.4,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches,3db1684c
83,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,1,10,2,20.0,0.50,0.10,0.10,0.50,17.7,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,fb29d05d
